RECORD_TYPE,SEQUENCE_NO,MSC_ID,CALLING_NUMBER,CALLED_NUMBER,IMSI,IMEI,CALL_START_TIME,CALL_END_TIME,DURATION_SEC,CELL_ID_START,CELL_ID_END,DISCONNECT_CAUSE,ROAMING_FLAG,CALL_DIRECTION,CHARGE_AMOUNT
VOICE,CDR000001,MSC-CAI-01,201011512113,201155082962,602182093783949,107505822552413,1778057373,1778057392,19,416-8-9942,329-9-3346,NO_ANSWER,0,MO,0.0529
SMS,CDR000002,MSC-ALX-01,201084144719,201219595297,602258472684597,081184201532369,1778049825,1778049826,0,129-3-3476,494-9-3233,USER_BUSY,0,MO,0.0942
SMS,CDR000003,MSC-ALX-01,201226160956,201293070814,602463349837722,570417146252426,1778014914,1778014915,0,79-3-4481,30-4-4716,NO_ANSWER,0,MT,0.0503
VOICE,CDR000004,MSC-CAI-01,201049015344,201042094285,602890236341986,493111736395239,1778034358,1778034429,71,329-10-3022,278-6-1109,USER_BUSY,0,MO,1.1741
VOICE,CDR000005,MSC-CAI-01,201266810219,201577276375,602276919115594,998384553186318,1777989292,1777990593,1301,21-6-5470,330-10-2383,USER_BUSY,0,MT,2.3741
VOICE,CDR000006,MSC-ALX-01,201552260123,201170660068,602612926977842,521937751949291,1778037845,1778038911,1066,194-8-5679,54-1-9236,NORMAL_CLEARING,0,MT,0.5882
SMS,CDR000007,MSC-CAI-02,201096922550,201063837651,602470332913981,435178929819703,1778021947,1778021948,0,6-8-2907,201-3-6052,USER_BUSY,0,MO,0.0536
VOICE,CDR000008,MSC-CAI-01,201198243650,201578359369,602401070463193,928907218068919,1778012075,1778013518,1443,309-3-2139,463-1-4024,USER_BUSY,0,MO,0.805
SMS,CDR000009,MSC-CAI-02,201114366561,201013641767,602195440409078,219622372146887,1778000063,1778000064,0,19-1-9143,85-2-9523,USER_BUSY,0,MO,0.0817
VOICE,CDR000010,MSC-ALX-01,201089639560,201518518348,602635722234288,052142145929392,1777998658,1777999652,994,285-9-5685,87-3-9154,NORMAL_CLEARING,0,MT,0.9046
VOICE,CDR000011,MSC-CAI-01,201567012213,201070988712,602435269829809,141585597852151,1778051435,1778052231,796,113-6-6690,161-3-3709,NORMAL_CLEARING,0,MT,1.7724
