cdr_type,subscriber_id,related_party_id,start_time,end_time,duration_sec,volume_uplink,volume_downlink,status,network_element_id,location_or_rat,imei,apn,message_id
PGW,1234567890,,2026-05-01 08:00:00,2026-05-01 09:30:00,5400,52428800,157286400,active,PGW_01,LTE,356789012345678,internet,
PGW,2345678901,,2026-05-01 09:15:00,2026-05-01 10:45:00,5400,10485760,31457280,active,PGW_02,NR,356789012345679,ims,
PGW,3456789012,,2026-05-01 10:30:00,2026-05-01 12:00:00,5400,209715200,629145600,active,PGW_03,LTE,356789012345680,internet,
PGW,4567890123,,2026-05-01 11:45:00,2026-05-01 13:15:00,5400,0,10485760,active,PGW_01,NR,356789012345681,internet,
PGW,5678901234,,2026-05-01 12:00:00,2026-05-01 14:00:00,7200,157286400,524288000,active,PGW_02,LTE,356789012345682,ims,
PGW,6789012345,,2026-05-01 13:20:00,2026-05-01 14:50:00,5400,52428800,157286400,active,PGW_03,NR,356789012345683,internet,
PGW,7890123456,,2026-05-01 14:35:00,2026-05-01 16:05:00,5400,104857600,314572800,active,PGW_01,LTE,356789012345684,internet,
PGW,8901234567,,2026-05-01 15:50:00,2026-05-01 17:20:00,5400,0,52428800,active,PGW_02,NR,356789012345685,ims,
PGW,9012345678,,2026-05-01 17:05:00,2026-05-01 18:35:00,5400,20971520,62914560,active,PGW_03,LTE,356789012345686,internet,
PGW,1122334455,,2026-05-01 18:20:00,2026-05-01 20:20:00,7200,262144000,1048576000,active,PGW_01,NR,356789012345687,internet,
PGW,2233445566,,2026-05-01 19:40:00,2026-05-01 21:10:00,5400,10485760,31457280,active,PGW_02,LTE,356789012345688,ims,
PGW,3344556677,,2026-05-01 20:55:00,2026-05-01 22:25:00,5400,52428800,157286400,active,PGW_03,NR,356789012345689,internet,
PGW,4455667788,,2026-05-01 22:10:00,2026-05-01 23:40:00,5400,0,20971520,active,PGW_01,LTE,356789012345690,internet,
PGW,6677889900,,2026-05-02 00:40:00,2026-05-02 02:10:00,5400,104857600,314572800,active,PGW_03,LTE,356789012345692,internet,
PGW,7788990011,,2026-05-02 02:00:00,2026-05-02 03:30:00,5400,52428800,157286400,active,PGW_01,NR,356789012345693,internet,
PGW,8899001122,,2026-05-02 03:15:00,2026-05-02 04:45:00,5400,0,104857600,active,PGW_02,LTE,356789012345694,ims,
PGW,9900112233,,2026-05-02 04:30:00,2026-05-02 06:30:00,7200,209715200,838860800,active,PGW_03,NR,356789012345695,internet,
PGW,1011121314,,2026-05-02 05:45:00,2026-05-02 07:15:00,5400,10485760,31457280,active,PGW_01,LTE,356789012345696,internet,
PGW,1213141516,,2026-05-02 07:00:00,2026-05-02 08:30:00,5400,52428800,157286400,active,PGW_02,NR,356789012345697,ims,
