cdr_type,subscriber_id,related_party_id,start_time,end_time,duration_sec,volume_uplink,volume_downlink,status,network_element_id,location_or_rat,imei,apn,message_id
SMSC,1234567890,9876543210,2026-05-01 08:02:00,2026-05-01 08:02:05,5,160,,delivered,SMSC_01,,,,"MSG1001"
SMSC,2345678901,8765432109,2026-05-01 09:17:00,2026-05-01 09:17:03,3,256,,delivered,SMSC_02,,,,"MSG1002"
SMSC,3456789012,7654321098,2026-05-01 10:33:00,2026-05-01 10:33:06,6,112,,delivered,SMSC_03,,,,"MSG1003"
SMSC,4567890123,6543210987,2026-05-01 11:47:00,2026-05-01 11:47:02,2,80,,delivered,SMSC_01,,,,"MSG1004"
SMSC,564,5432109876,2026-05-01 12:02:00,2026-05-01 12:02:08,8,320,,delivered,SMSC_02,,,,"MSG1005"   
SMSC,678,4321098765,2026-05-01 13:22:00,2026-05-01 13:22:04,4,140,,delivered,SMSC_03,,,,"MSG1006"   
SMSC,7890123456,3210987654,2026-05-01 14:37:00,2026-05-01 14:37:05,5,200,,pending,SMSC_01,,,,"MSG1007"   
SMSC,8901234567,2109876543,2026-05-01 15:52:00,2026-05-01 15:52:07,7,95,,fail,SMSC_02,,,,"MSG1008"   
SMSC,9012345678,1098765432,2026-05-01 17:07:00,2026-05-01 17:07:03,3,180,,delivered,SMSC_03,,,,"MSG1009"
SMSC,1122334455,9988776655,2026-05-01 18:22:00,2026-05-01 18:22:10,10,500,,delivered,SMSC_01,,,,"MSG1010"
SMSC,2233445566,8877665544,2026-05-01 19:42:00,2026-05-01 19:42:04,4,64,,delivered,SMSC_02,,,,"MSG1011"
SMSC,3344556677,7766554433,2026-05-01 20:57:00,2026-05-01 20:57:06,6,128,,delivered,SMSC_03,,,,"MSG1012"
SMSC,4455667788,3322,2026-05-01 22:12:00,2026-05-01 22:12:03,3,255,,delivered,SMSC_01,,,,"MSG1013" 
SMSC,5566778899,5544332211,2026-05-01 23:27:00,2026-05-01 23:27:05,5,88,,delivered,SMSC_02,,,,"MSG1014"
SMSC,6677889900,4433221100,2026-05-02 00:42:00,2026-05-02 00:42:08,8,444,,delivered,SMSC_03,,,,"MSG1015"
SMSC,7788990011,3322110099,2026-05-02 02:02:00,2026-05-02 02:02:04,4,99,,delivered,SMSC_01,,,,"MSG1016"
SMSC,8899001122,2211009988,2026-05-02 03:17:00,2026-05-02 03:17:07,7,210,,delivered,SMSC_02,,,,"MSG1017"
SMSC,9900112233,1100998877,2026-05-02 04:32:00,2026-05-02 04:32:05,5,77,,delivered,SMSC_03,,,,"MSG1018"
SMSC,1011121314,9988776655,2026-05-02 05:47:00,2026-05-02 05:47:06,6,303,,delivered,SMSC_01,,,,"MSG1019"
SMSC,1213141516,8877665544,2026-05-02 07:02:00,2026-05-02 07:02:09,9,160,,delivered,SMSC_02,,,,"MSG1020"
